participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
217,1,2,1,noise,11,1,Not Studied,60,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,61,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,62,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,63,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,64,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,65,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,66,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,67,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,68,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,69,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,70,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,71,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,72,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,73,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,74,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,75,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,76,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,77,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,78,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,79,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,80,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,81,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,82,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,83,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,84,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,85,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,86,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,87,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,88,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,89,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,90,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,91,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,92,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,93,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,94,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,95,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,96,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,97,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,98,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,99,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,100,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,101,1,NaN,NaN,NaN
217,1,2,1,noise,11,1,Not Studied,102,1,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,1,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,2,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,3,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,4,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,5,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,6,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,7,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,8,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,9,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,10,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,11,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,12,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,13,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,14,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,15,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,16,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,17,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,18,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,19,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,20,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,21,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,22,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,23,0,NaN,NaN,NaN
217,1,1,2,noise,4,0,CFS,24,0,NaN,NaN,NaN
