participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
1,1,1,1,noise,10,0,Not Studied,64,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,65,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,66,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,67,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,68,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,69,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,70,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,71,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,72,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,73,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,74,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,75,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,76,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,77,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,78,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,79,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,80,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,81,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,82,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,83,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,84,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,85,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,86,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,87,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,88,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,89,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,90,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,91,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,92,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,93,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,94,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,95,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,96,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,97,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,98,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,99,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,100,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,101,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,102,0,NaN,NaN,NaN
1,1,2,1,noise,10,0,Not Studied,1,0,5008.17179445852,5008.17179445852,-0.00628648933070508
1,1,2,1,noise,10,0,Not Studied,2,0,5008.26346112518,5008.18970080194,-0.00209365658156457
1,1,2,1,noise,10,0,Not Studied,3,0,5008.35512779185,5008.26640822434,-0.00995924426842976
1,1,2,1,noise,10,0,Not Studied,4,0,5008.44679445852,5008.35806680676,-0.011674750909151
1,1,2,1,noise,10,0,Not Studied,5,0,5008.53846112518,5008.44974287548,-0.0116572646165878
1,1,2,1,noise,10,0,Not Studied,6,0,5008.63012779185,5008.5414417524,-0.0116344564103201
1,1,2,1,noise,10,0,Not Studied,7,0,5008.72179445852,5008.63307144443,-0.0117036413048481
1,1,2,1,noise,10,0,Not Studied,8,0,5008.81346112518,5008.72547167373,-0.0109331040348479
1,1,2,1,noise,10,0,Not Studied,9,0,5008.90512779185,5008.81646767773,-0.0123373293317854
1,1,2,1,noise,10,0,Not Studied,10,0,5008.99679445852,5008.90872725642,-0.0110737546465316
1,1,2,1,noise,10,0,Not Studied,11,0,5009.08846112518,5008.99909869567,-0.0129618940745786
